Participant,Event,Valence,E1,eBR,BR,E2
11,6,4,50,30,29,50
11,7,5,70,45,45,80
11,8,4,100,90,75,100
11,9,4,50,30,29,60
11,10,4,50,60,56,30
11,11,5,20,30,31,30
11,12,3,0,80,78,5
11,13,5,60,10,22,10
11,14,2,35,45,41,30
11,15,2,90,70,60,45
11,16,2,35,30,26,30
11,17,2,35,55,43,40
11,18,2,70,70,82,60
11,19,2,100,80,21,70
11,20,2,80,60,40,60
11,21,3,85,80,35,70
11,22,2,40,75,60,60
11,23,2,60,80,71,45
11,24,3,40,40,14,25
11,25,3,50,40,14,25
11,26,3,100,100,29,100
11,27,3,75,55,45,55
11,28,3,20,20,20,20
11,29,2,85,95,66,60
11,30,4,40,20,48,25
11,31,5,15,20,19,15
11,32,2,5,10,33,15
11,33,3,10,40,15,15
11,34,3,80,80,80,60
11,35,2,10,15,17,30
11,36,2,85,85,26,65
11,37,4,50,50,30,50
11,38,2,80,90,71,50
11,39,3,40,60,43,25
11,40,5,80,55,21,70
11,41,2,20,70,17,10
11,42,3,75,60,13,40
11,43,4,15,20,81,20
11,44,3,5,10,19,10
11,45,5,80,70,19,30
11,46,5,10,70,45,5
11,47,3,10,70,20,0
11,48,2,5,30,18,5
11,49,3,0,30,11,5
11,50,3,10,45,38,15
11,51,3,50,45,26,50
12,1,4,2,5,26,30
12,2,2,5,30,20,10
12,3,3,3,44,29,5
12,4,3,40,45,78,50
12,5,5,5,60,56,5
12,6,5,25,40,29,40
12,7,2,10,45,45,10
12,8,2,45,65,75,50
12,9,3,20,20,29,20
12,10,2,15,25,56,15
12,11,4,15,35,31,20
12,12,3,90,75,78,80
12,13,4,12,0,22,0
12,14,2,5,15,41,5
12,15,2,75,60,60,30
12,16,2,30,10,26,5
12,17,2,6,26,43,30
12,18,2,20,20,82,50
12,19,2,12,45,21,15
12,20,2,0,8,40,5
12,21,4,90,88,35,80
12,22,2,80,80,60,60
12,23,2,80,65,71,70
12,24,2,15,20,14,15
12,25,4,80,50,14,80
12,26,3,100,66,29,100
12,27,3,22,30,45,20
12,28,3,20,20,20,15
12,29,2,70,80,66,80
12,30,4,100,35,48,100
12,31,3,40,70,19,50
12,32,2,5,35,33,30
12,33,4,100,50,15,80
12,34,3,80,80,80,80
12,35,2,10,50,17,5
12,36,2,80,80,26,35
12,37,3,55,55,30,20
12,38,2,95,85,71,80
12,39,4,95,40,43,100
12,40,3,5,20,21,50
12,41,3,30,40,17,50
12,42,3,5,12,13,15
12,43,3,2,12,81,60
12,44,3,18,18,19,15
12,45,4,60,28,19,70
12,46,4,100,50,45,100
12,47,4,30,18,20,30
12,48,3,100,35,18,100
12,49,3,80,20,11,80
12,50,3,5,35,38,10
12,51,3,10,23,26,10
13,1,3,0,3,26,0
13,2,2,0,47,20,20
13,3,2,0,13,29,0
13,4,5,98,56,78,50
13,5,5,15,16,56,44
13,6,2,19,19,29,10
13,7,4,86,19,45,20
13,8,3,45,25,75,70
13,9,5,0,15,29,10
13,10,4,100,23,56,30
13,11,4,76,56,31,30
13,12,4,60,54,78,70
13,13,4,0,16,22,0
13,14,2,99,56,41,50
13,15,2,99,78,60,100
13,16,2,99,47,26,30
13,17,2,10,15,43,40
13,18,2,99,78,82,99
13,19,3,60,65,21,20
13,20,2,0,30,40,0
13,21,2,80,50,35,30
13,22,2,99,99,60,40
13,23,2,89,67,71,50
13,24,3,30,30,14,10
13,25,4,1,13,14,30
13,26,3,99,67,29,30
13,27,3,99,88,45,98
13,28,3,50,51,20,20
13,29,2,99,15,66,99
13,30,3,0,38,48,20
13,31,2,20,30,19,30
13,32,4,9,50,33,55
13,33,4,99,5,15,20
13,34,2,0,12,80,80
13,35,2,0,13,17,10
13,36,2,34,36,26,30
13,37,4,20,15,30,10
13,38,2,99,99,71,50
13,39,2,50,34,43,30
13,40,3,87,78,21,30
13,41,4,100,10,17,99
13,42,4,99,55,13,99
13,43,2,0,13,81,99
13,44,4,12,10,19,0
13,45,5,80,59,19,30
13,46,5,99,89,45,30
13,47,2,23,25,20,0
13,48,2,0,15,18,1
13,49,4,0,19,11,10
13,50,4,50,55,38,50
13,51,3,49,23,26,50
14,1,4,50,40,26,35
14,2,4,15,20,20,15
14,3,4,0,15,29,0
14,4,3,100,90,78,100
14,5,4,5,25,56,5
14,6,4,25,45,29,10
14,7,4,25,65,45,10
14,8,3,20,50,75,15
14,9,4,10,15,29,10
14,10,4,20,30,56,20
14,11,5,30,25,31,35
14,12,3,100,70,78,100
14,13,5,0,18,22,0
14,14,2,5,30,41,5
14,15,2,15,20,60,10
14,16,2,5,10,26,5
14,17,2,0,15,43,5
14,18,2,5,25,82,5
14,19,2,0,10,21,0
14,20,2,0,15,40,0
14,21,2,15,25,35,10
14,22,2,75,75,60,65
14,23,2,10,45,71,10
14,24,3,5,5,14,5
14,25,3,50,50,14,20
14,26,3,10,20,29,20
14,27,2,0,22,45,0
14,28,3,20,20,20,15
14,29,2,85,85,66,80
14,30,3,50,40,48,25
14,31,3,100,85,19,0
14,32,4,100,45,33,100
14,33,4,100,75,15,100
14,34,2,0,10,80,0
14,35,2,0,12,17,10
14,36,3,80,80,26,40
14,37,3,75,75,30,30
14,38,2,100,100,71,100
14,39,3,90,75,43,100
14,40,3,50,55,21,40
14,41,3,0,10,17,0
14,42,3,5,65,13,0
14,43,3,60,75,81,75
14,44,3,15,15,19,15
14,45,4,50,40,19,40
14,46,5,100,65,45,100
14,47,4,25,20,20,50
14,48,3,55,40,18,40
14,49,4,0,5,11,0
14,50,3,0,25,38,0
14,51,3,10,20,26,5
15,1,2,20,40,26,10
15,2,2,10,13,20,20
15,3,3,0,20,29,15
15,4,3,100,80,78,30
15,5,5,90,80,56,80
15,6,4,20,35,29,15
15,7,4,60,15,45,60
15,8,4,70,60,75,60
15,9,3,10,14,29,15
15,10,3,20,60,56,20
15,11,4,20,20,31,20
15,12,2,100,75,78,100
15,13,4,13,0,22,10
15,14,2,15,15,41,30
15,15,2,60,40,60,60
15,16,2,15,20,26,40
15,17,2,15,15,43,20
15,18,2,20,40,82,20
15,19,2,0,20,21,0
15,20,2,5,15,40,10
15,21,3,60,15,35,50
15,22,2,80,80,60,40
15,23,2,30,60,71,30
15,24,3,15,15,14,15
15,25,5,100,70,14,100
15,26,3,100,25,29,100
15,27,2,1,12,45,15
15,28,3,20,20,20,20
15,29,2,70,70,66,60
15,30,5,100,15,48,100
15,31,2,100,60,19,20
15,32,4,100,30,33,100
15,33,3,70,70,15,60
15,34,4,100,80,80,60
15,35,2,20,70,17,40
15,36,2,70,70,26,50
15,37,3,70,70,30,30
15,38,2,80,80,71,60
15,39,4,60,30,43,60
15,40,3,0,25,21,0
15,41,5,100,70,17,100
15,42,3,100,15,13,60
15,43,3,20,60,81,70
15,44,3,0,15,19,20
15,45,3,80,8,19,40
15,46,5,100,30,45,100
15,47,4,70,35,20,100
15,48,3,100,60,18,75
15,49,4,1,3,11,5
15,50,4,80,65,38,60
15,51,2,15,40,26,10
16,1,5,15,10,26,0
16,2,5,10,15,20,15
16,3,3,0,27,29,0
16,4,4,100,70,78,100
16,5,4,30,34,56,10
16,6,3,0,25,29,0
16,7,4,0,22,45,0
16,8,3,100,76,75,80
16,9,3,0,29,29,10
16,10,3,0,45,56,0
16,11,4,0,12,31,15
16,12,3,100,90,78,100
16,13,4,0,14,22,0
16,14,2,12,31,41,10
16,15,2,20,23,60,30
16,16,2,0,12,26,10
16,17,2,0,10,43,10
16,18,2,60,70,82,90
16,19,2,0,12,21,0
16,20,2,0,16,40,0
16,21,2,15,25,35,50
16,22,2,60,60,60,60
16,23,2,0,56,71,10
16,24,3,30,30,14,14
16,25,5,100,54,14,100
16,26,3,100,70,29,100
16,27,2,90,75,45,100
16,28,3,15,15,20,15
16,29,2,60,65,66,79
16,30,4,100,45,48,100
16,31,2,70,70,19,10
16,32,5,100,60,33,90
16,33,2,0,50,15,0
16,34,3,60,60,80,80
16,35,2,0,10,17,0
16,36,3,40,40,26,26
16,37,3,100,67,30,30
16,38,2,70,60,71,70
16,39,2,0,60,43,0
16,40,5,100,80,21,100
16,41,3,100,70,17,100
16,42,3,100,75,13,100
16,43,4,0,10,81,100
16,44,3,10,15,19,19
16,45,3,100,23,19,100
16,46,5,100,80,45,100
16,47,4,45,45,20,50
16,48,2,100,60,18,100
16,49,2,0,12,11,0
16,50,3,40,30,38,50
16,51,2,0,30,26,0
17,1,2,10,20,26,0
17,2,3,90,48,20,80
17,3,2,50,42,29,50
17,4,3,100,100,78,100
17,5,4,100,40,56,100
17,6,4,80,75,29,100
17,7,3,0,47,45,0
17,8,3,100,45,75,100
17,9,3,100,60,29,100
17,10,3,100,46,56,100
17,11,4,32,21,31,70
17,12,3,100,100,78,100
17,13,3,9,76,22,80
17,14,2,80,59,41,80
17,15,2,100,60,60,50
17,16,2,5,60,26,50
17,17,2,100,30,43,100
17,18,2,91,65,82,90
17,19,3,7,29,21,0
17,20,2,100,20,40,100
17,21,2,50,60,35,80
17,22,2,99,78,60,80
17,23,2,99,34,71,100
17,24,3,8,46,14,50
17,25,2,100,39,14,100
17,26,3,100,99,29,100
17,27,3,50,48,45,50
17,28,3,40,70,20,50
17,29,2,99,99,66,100
17,30,3,100,69,48,100
17,31,3,100,55,19,100
17,32,3,25,50,33,100
17,33,3,100,87,15,100
17,34,3,2,43,80,0
17,35,2,0,0,17,0
17,36,2,100,100,26,100
17,37,3,5,75,30,20
17,38,3,100,100,71,100
17,39,4,100,80,43,100
17,40,3,99,55,21,100
17,41,3,100,100,17,100
17,42,2,100,60,13,100
17,43,2,100,30,81,100
17,44,3,90,67,19,50
17,45,3,58,54,19,60
17,46,3,100,88,45,100
17,47,3,80,32,20,50
17,48,3,80,87,18,100
17,49,3,9,7,11,0
17,50,3,0,7,38,0
17,51,2,10,5,26,0
18,1,3,0,24,26,25
18,2,2,25,60,20,75
18,3,4,0,45,29,25
18,4,2,100,75,78,100
18,5,5,60,50,56,60
18,6,5,100,60,29,100
18,7,3,100,60,45,100
18,8,3,100,100,75,100
18,9,4,20,15,29,30
18,10,2,50,60,56,50
18,11,4,70,50,31,50
18,12,2,100,89,78,100
18,13,4,0,15,22,0
18,14,3,10,50,41,10
18,15,2,100,77,60,100
18,16,2,100,56,26,90
18,17,2,55,36,43,55
18,18,2,70,70,82,80
18,19,2,100,89,21,75
18,20,3,100,47,40,75
18,21,3,100,80,35,100
18,22,2,75,100,60,75
18,23,2,25,60,71,25
18,24,3,45,33,14,50
18,25,4,100,35,14,80
18,26,2,0,35,29,0
18,27,2,0,60,45,0
18,28,3,70,60,20,50
18,29,2,99,60,66,100
18,30,4,100,50,48,100
18,31,2,100,55,19,25
18,32,2,0,25,33,0
18,33,3,60,5,15,50
18,34,2,100,67,80,80
18,35,3,0,4,17,0
18,36,2,1,44,26,30
18,37,3,50,50,30,50
18,38,2,100,100,71,100
18,39,3,0,33,43,0
18,40,3,80,44,21,80
18,41,2,0,30,17,0
18,42,3,0,38,13,0
18,43,3,25,43,81,70
18,44,3,5,20,19,20
18,45,4,50,60,19,50
18,46,4,100,30,45,100
18,47,5,100,30,20,100
18,48,2,100,60,18,100
18,49,2,0,30,11,0
18,50,4,0,33,38,0
18,51,2,0,50,26,0
19,1,4,10,20,26,10
19,2,4,30,40,20,20
19,3,4,5,30,29,60
19,4,4,100,70,78,100
19,5,4,100,40,56,80
19,6,4,30,50,29,30
19,7,5,100,80,45,100
19,8,4,70,60,75,70
19,9,4,50,40,29,70
19,10,4,100,20,56,100
19,11,4,30,30,31,30
19,12,3,100,70,78,70
19,13,4,40,60,22,10
19,14,2,50,30,41,50
19,15,2,10,70,60,70
19,16,2,50,50,26,50
19,17,2,80,60,43,80
19,18,2,90,40,82,70
19,19,2,0,10,21,0
19,20,2,0,10,40,0
19,21,2,70,50,35,60
19,22,2,20,20,60,60
19,23,2,100,78,71,100
19,24,2,50,50,14,40
19,25,4,30,30,14,80
19,26,4,100,90,29,100
19,27,3,10,20,45,50
19,28,3,10,10,20,50
19,29,2,60,70,66,80
19,30,4,100,30,48,80
19,31,2,70,40,19,80
19,32,4,0,10,33,0
19,33,4,90,80,15,20
19,34,2,0,10,80,30
19,35,4,90,80,17,70
19,36,2,70,70,26,60
19,37,4,80,90,30,80
19,38,2,100,100,71,100
19,39,2,0,20,43,0
19,40,2,98,60,21,90
19,41,4,100,50,17,100
19,42,4,80,50,13,80
19,43,3,60,50,81,40
19,44,3,0,40,19,0
19,45,4,100,70,19,100
19,46,4,100,90,45,100
19,47,4,100,75,20,80
19,48,2,8,30,18,20
19,49,3,10,30,11,10
19,50,3,0,20,38,0
19,51,3,20,20,26,20
20,1,2,0,10,26,0
20,2,5,0,35,20,0
20,3,3,33,33,29,0
20,4,4,100,78,78,100
20,5,3,75,65,56,55
20,6,2,23,45,29,20
20,7,4,30,65,45,39
