"Participant","Event","E1","eBR","BR","Valence","E2","trialtype","signed_EE","abs_EE","direction","update"
56,7,70,70,62,4,67,"positive",8,8,-1,3
56,8,40,55,59,3,34,"neutral",-19,19,1,-6
56,9,35,50,65,2,20,"negative",-30,30,1,-15
56,10,75,65,55,3,70,"neutral",20,20,-1,5
56,11,55,65,52,2,77,"negative",3,3,-1,-22
56,12,40,60,48,3,58,"neutral",-8,8,1,18
56,13,3,3,30,1,15,"negative",-27,27,1,12
56,14,77,77,55,3,60,"neutral",22,22,-1,17
56,15,77,70,42,4,70,"positive",35,35,-1,7
56,16,40,60,32,3,20,"neutral",8,8,-1,20
56,17,60,60,41,3,60,"neutral",19,19,-1,0
56,18,30,50,48,3,35,"neutral",-18,18,1,5
56,19,50,45,49,4,60,"positive",1,1,-1,-10
56,20,45,50,44,4,70,"positive",1,1,-1,-25
56,21,20,30,33,5,20,"positive",-13,13,1,0
56,22,70,70,51,4,70,"positive",19,19,-1,0
56,23,55,70,37,4,20,"positive",18,18,-1,35
56,24,40,70,43,4,65,"positive",-3,3,1,25
56,25,5,10,39,2,65,"negative",-34,34,1,60
56,26,77,77,35,2,70,"negative",42,42,-1,7
56,27,70,70,30,3,65,"neutral",40,40,-1,5
56,28,50,77,70,4,50,"positive",-20,20,1,0
56,29,60,70,10,4,50,"positive",50,50,-1,10
56,30,35,35,23,3,35,"neutral",12,12,-1,0
56,31,45,55,23,3,60,"neutral",22,22,-1,-15
56,32,3,10,36,2,35,"negative",-33,33,1,32
56,33,65,70,33,4,45,"positive",32,32,-1,20
56,34,20,30,36,3,35,"neutral",-16,16,1,15
56,35,3,77,45,3,3,"neutral",-42,42,1,0
56,36,10,60,43,2,45,"negative",-33,33,1,35
56,37,50,60,38,4,60,"positive",12,12,-1,-10
56,38,50,50,33,3,40,"neutral",17,17,-1,10
56,39,65,70,47,2,60,"negative",18,18,-1,5
57,1,3,20,56,3,35,"neutral",-53,53,1,32
57,2,9,66,29,3,29,"neutral",-20,20,1,20
57,3,70,70,20,3,37,"neutral",50,50,-1,33
57,4,25,28,17,3,21,"neutral",8,8,-1,4
57,5,3,77,38,3,3,"neutral",-35,35,1,0
57,6,3,3,26,3,3,"neutral",-23,23,1,0
57,7,73,65,62,5,53,"positive",11,11,-1,20
57,8,3,50,59,3,25,"neutral",-56,56,1,22
57,9,45,45,65,3,30,"neutral",-20,20,1,-15
57,10,60,60,55,3,25,"neutral",5,5,-1,35
57,11,20,20,52,1,54,"negative",-32,32,1,34
57,12,65,65,48,3,51,"neutral",17,17,-1,14
57,13,3,9,30,3,10,"neutral",-27,27,1,7
57,14,50,50,55,3,25,"neutral",-5,5,1,-25
57,15,27,27,42,3,3,"neutral",-15,15,1,-24
57,16,77,64,32,3,26,"neutral",45,45,-1,51
57,17,20,77,41,3,55,"neutral",-21,21,1,35
57,18,55,55,48,3,37,"neutral",7,7,-1,18
57,19,52,52,49,3,54,"neutral",3,3,-1,-2
57,20,64,64,44,3,51,"neutral",20,20,-1,13
