"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
5,38,3,95,95,71,80,"-1",15
5,39,3,90,80,43,80,"-1",10
5,40,3,2,36,21,10,"1",-8
5,41,3,70,64,17,80,"-1",-10
5,42,3,78,67,13,70,"-1",8
5,43,3,32,22,81,10,"1",22
5,44,3,1,1,19,50,"1",-49
5,45,3,85,62,19,90,"-1",-5
5,46,3,70,60,45,60,"-1",10
5,47,3,0,20,20,0,"1",0
5,48,3,0,10,18,0,"1",0
5,49,3,0,12,11,0,"1",0
5,50,3,0,36,38,0,"1",0
5,51,2,0,56,26,0,"1",0
6,1,3,50,50,26,50,"-1",0
6,2,2,10,10,20,10,"1",0
6,3,3,20,20,29,10,"1",10
6,4,2,100,95,78,100,"-1",0
6,5,2,50,50,56,50,"1",0
6,6,2,85,85,29,100,"-1",-15
6,7,4,10,10,45,10,"1",0
6,8,3,100,85,75,100,"-1",0
6,9,3,5,10,29,10,"1",-5
6,10,4,99,85,56,100,"-1",-1
6,11,4,20,20,31,20,"1",0
6,12,3,100,100,78,100,"-1",0
6,13,4,50,50,22,10,"-1",40
6,14,2,95,70,41,100,"-1",-5
6,15,2,100,75,60,100,"-1",0
6,16,3,55,45,26,60,"-1",-5
6,17,2,20,20,43,10,"1",10
6,18,2,99,85,82,100,"-1",-1
6,19,2,100,80,21,100,"-1",0
6,20,2,0,45,40,0,"1",0
6,21,3,99,99,35,100,"-1",-1
6,22,2,65,65,60,60,"-1",5
6,23,2,100,100,71,100,"-1",0
6,24,3,10,10,14,10,"1",0
6,25,5,100,60,14,100,"-1",0
6,26,3,100,80,29,100,"-1",0
6,27,3,80,80,45,50,"-1",30
6,28,3,19,19,20,20,"1",-1
6,29,2,99,99,66,100,"-1",-1
6,30,3,100,39,48,100,"-1",0
6,31,3,50,50,19,40,"-1",10
6,32,2,0,69,33,0,"1",0
6,33,3,50,50,15,50,"-1",0
6,34,3,100,100,80,100,"-1",0
6,35,2,0,15,17,0,"1",0
6,36,2,60,60,26,60,"-1",0
6,37,3,67,67,30,50,"-1",17
6,38,2,100,100,71,100,"-1",0
6,39,2,0,60,43,0,"1",0
6,40,3,100,95,21,100,"-1",0
6,41,2,100,80,17,80,"-1",20
6,42,3,28,58,13,20,"-1",8
6,43,2,50,50,81,50,"1",0
6,44,3,19,19,19,15,"0",4
6,45,4,30,30,19,30,"-1",0
6,46,5,0,80,45,100,"1",-100
6,47,3,80,80,20,80,"-1",0
6,48,3,10,50,18,0,"1",10
6,49,3,0,10,11,10,"1",-10
6,50,5,100,50,38,100,"-1",0
6,51,2,0,20,26,0,"1",0
7,1,4,10,40,26,10,"1",0
7,2,4,2,4,20,40,"1",-38
7,3,3,0,12,29,0,"1",0
7,4,4,100,100,78,100,"-1",0
7,5,4,43,38,56,50,"1",-7
7,6,4,47,45,29,25,"-1",22
7,7,4,15,47,45,15,"1",0
7,8,4,5,43,75,1,"1",4
7,9,4,23,43,29,10,"1",13
7,10,4,10,53,56,20,"1",-10
7,11,3,10,42,31,15,"1",-5
7,12,2,3,25,78,10,"1",-7
7,13,4,0,68,22,0,"1",0
7,14,2,75,65,41,75,"-1",0
7,15,4,99,83,60,99,"-1",0
7,16,2,23,19,26,20,"1",3
7,17,2,4,28,43,3,"1",1
7,18,2,50,43,82,70,"1",-20
7,19,2,0,34,21,0,"1",0
7,20,3,0,17,40,0,"1",0
7,21,4,70,60,35,75,"-1",-5
7,22,4,89,95,60,50,"-1",39
7,23,2,17,39,71,23,"1",-6
7,24,3,20,20,14,20,"-1",0
7,25,3,2,36,14,10,"1",-8
7,26,3,0,78,29,4,"1",-4
7,27,2,15,27,45,8,"1",7
7,28,3,19,16,20,20,"1",-1
7,29,2,90,90,66,60,"-1",30
7,30,3,0,23,48,0,"1",0
7,31,4,0,47,19,0,"1",0
7,32,4,100,50,33,0,"-1",100
7,33,3,80,34,15,100,"-1",-20
7,34,3,69,78,80,43,"1",26
7,35,2,78,80,17,10,"-1",68
7,36,4,0,58,26,25,"1",-25
7,37,4,25,25,30,60,"1",-35
7,38,3,60,60,71,81,"1",-21
7,39,3,98,75,43,78,"-1",20
7,40,3,45,45,21,25,"-1",20
7,41,3,83,57,17,0,"-1",83
7,42,4,5,27,13,1,"1",4
7,43,4,50,32,81,86,"1",-36
7,44,3,20,20,19,20,"-1",0
7,45,3,10,25,19,10,"1",0
7,46,5,50,41,45,75,"-1",-25
7,47,4,12,23,20,10,"1",2
7,48,3,25,30,18,21,"-1",4
7,49,4,2,19,11,2,"1",0
7,50,5,0,65,38,0,"1",0
7,51,3,15,4,26,4,"1",11
8,1,4,23,32,26,27,"1",-4
8,2,2,18,21,20,12,"1",6
8,3,3,70,74,29,56,"-1",14
8,4,4,100,85,78,100,"-1",0
8,5,4,80,60,56,87,"-1",-7
8,6,2,25,30,29,20,"1",5
8,7,3,15,75,45,29,"1",-14
8,8,3,50,43,75,70,"1",-20
8,9,5,100,69,29,100,"-1",0
8,10,4,50,75,56,33,"1",17
8,11,4,17,17,31,20,"1",-3
8,12,2,100,90,78,100,"-1",0
8,13,4,18,14,22,13,"1",5
8,14,2,20,30,41,20,"1",0
8,15,2,85,65,60,37,"-1",48
8,16,5,40,80,26,73,"-1",-33
8,17,2,40,33,43,40,"1",0
8,18,2,30,44,82,28,"1",2
8,19,2,42,37,21,74,"-1",-32
8,20,2,0,9,40,3,"1",-3
8,21,2,48,26,35,30,"-1",18
8,22,2,80,80,60,40,"-1",40
8,23,2,90,75,71,99,"-1",-9
8,24,3,4,8,14,1,"1",3
8,25,4,62,24,14,66,"-1",-4
8,26,3,100,89,29,99,"-1",1
8,27,3,88,32,45,100,"-1",-12
8,28,3,23,20,20,28,"-1",-5
8,29,2,40,67,66,34,"1",6
8,30,3,73,40,48,67,"-1",6
