"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
20,47,3,33,45,20,10,"-1",23
20,51,3,50,78,26,20,"-1",30
21,1,3,0,36,26,0,"1",0
21,8,3,10,65,75,10,"1",0
21,12,3,40,35,78,80,"1",-40
21,14,3,15,36,41,15,"1",0
21,24,3,50,25,14,30,"-1",20
21,25,3,60,56,14,25,"-1",35
21,26,3,100,80,29,100,"-1",0
21,27,3,50,35,45,14,"-1",36
21,28,3,0,5,20,10,"1",-10
21,30,3,0,15,48,0,"1",0
21,32,3,0,37,33,0,"1",0
21,34,3,0,1,80,0,"1",0
21,37,3,75,75,30,90,"-1",-15
21,39,3,25,50,43,15,"1",10
21,40,3,75,26,21,75,"-1",0
21,41,3,0,67,17,0,"1",0
21,42,3,98,75,13,75,"-1",23
21,43,3,50,56,81,50,"1",0
21,44,3,0,60,19,0,"1",0
21,46,3,0,20,45,0,"1",0
21,47,3,0,15,20,5,"1",-5
21,50,3,0,37,38,0,"1",0
21,51,3,5,15,26,15,"1",-10
22,3,3,10,56,29,11,"1",-1
22,4,3,100,80,78,100,"-1",0
22,12,3,100,90,78,100,"-1",0
22,15,3,67,50,60,89,"-1",-22
22,21,3,100,100,35,45,"-1",55
22,24,3,15,15,14,29,"-1",-14
22,28,3,70,80,20,19,"-1",51
22,30,3,100,12,48,100,"-1",0
22,33,3,0,14,15,0,"1",0
22,34,3,60,60,80,80,"1",-20
22,39,3,10,12,43,34,"1",-24
22,41,3,100,43,17,100,"-1",0
22,42,3,100,20,13,99,"-1",1
22,44,3,98,78,19,77,"-1",21
22,45,3,100,40,19,100,"-1",0
22,47,3,0,10,20,0,"1",0
22,49,3,100,56,11,100,"-1",0
23,1,3,5,5,26,20,"1",-15
23,2,3,10,5,20,10,"1",0
23,14,3,90,60,41,60,"-1",30
23,22,3,80,80,60,40,"-1",40
23,28,3,10,10,20,20,"1",-10
23,30,3,10,20,48,10,"1",0
23,38,3,100,90,71,90,"-1",10
23,42,3,0,40,13,20,"1",-20
23,44,3,5,10,19,10,"1",-5
23,46,3,10,30,45,5,"1",5
23,47,3,5,10,20,0,"1",5
23,48,3,30,5,18,5,"-1",25
24,17,3,95,70,43,85,"-1",10
24,19,3,90,38,21,90,"-1",0
24,21,3,95,69,35,85,"-1",10
24,22,3,80,65,60,65,"-1",15
24,24,3,12,12,14,12,"1",0
24,26,3,100,86,29,100,"-1",0
24,28,3,50,55,20,50,"-1",0
24,30,3,0,24,48,5,"1",-5
24,33,3,100,30,15,100,"-1",0
24,36,3,50,26,26,50,"-1",0
24,37,3,80,38,30,85,"-1",-5
24,39,3,75,19,43,75,"-1",0
24,44,3,5,30,19,10,"1",-5
24,45,3,0,19,19,22,"1",-22
24,47,3,5,18,20,20,"1",-15
24,48,3,50,20,18,50,"-1",0
24,50,3,5,48,38,5,"1",0
24,51,3,25,28,26,26,"1",-1
25,1,3,0,5,26,0,"1",0
25,6,3,30,20,29,30,"-1",0
25,8,3,90,80,75,80,"-1",10
25,24,3,2,2,14,15,"1",-13
25,28,3,26,20,20,20,"-1",6
25,33,3,25,75,15,20,"-1",5
25,34,3,85,75,80,75,"-1",10
25,40,3,0,0,21,0,"1",0
25,41,3,100,20,17,100,"-1",0
25,42,3,50,20,13,50,"-1",0
25,43,3,10,70,81,100,"1",-90
25,44,3,30,30,19,20,"-1",10
25,47,3,0,20,20,10,"1",-10
25,50,3,0,10,38,0,"1",0
26,3,3,60,10,29,16,"-1",44
26,6,3,20,40,29,40,"1",-20
26,7,3,20,80,45,40,"1",-20
26,8,3,50,70,75,70,"1",-20
26,9,3,80,60,29,50,"-1",30
26,12,3,80,80,78,70,"-1",10
26,13,3,10,40,22,10,"1",0
26,15,3,90,90,60,80,"-1",10
26,24,3,30,30,14,60,"-1",-30
26,26,3,100,90,29,100,"-1",0
26,28,3,8,70,20,60,"1",-52
26,29,3,2,5,66,60,"1",-58
26,38,3,100,100,71,7,"-1",93
26,42,3,60,30,13,30,"-1",30
26,44,3,0,5,19,5,"1",-5
26,47,3,10,10,20,20,"1",-10
